Source,R.A.,Decl.,Cloud,L_bol,M_env,alpha_IR^a,N(CH_3OH),N(H_2O_(ice))^a,${X}_{{\mathrm{CH}}_{3}\mathrm{OH}(\mathrm{ice})}$ ^b,${X}_{{\mathrm{NH}}_{3}(\mathrm{ice})}$ ^b,rms
,(J2000.0),(J2000.0),,L_sun,M_sun,,10^13 cm^-2,10^18 cm^-2,% H_2O,% H_2O,(mK)
B1-a^c,03:33:16.67,31:07:55.1,Perseus,1.3^d,2.8^d,1.87,10.21 [3.24],10.39 [2.26],<1.9,3.33 [0.98],3.6
B1-c,03:33:17.89,31:09:31.0,Perseus,3.7^d,17.7^d,2.66,1.69 [0.51],29.55 [5.65],<7.1,<4.04,5.5
B5 IRS1^c,03:47:41.61,32:51:43.8,Perseus,4.7^d,4.2^d,0.78,1.77 [0.46],2.26 [0.28],<3.7,<2.09,7
HH 300,04:26:56.30,24:43:35.3,Taurus,1.27^e,0.03^f,0.79,0.24 [0.10],2.59 [0.25],<6.7,3.46 [0.90],5.8
IRAS 03235+3004^c,03:26:37.45,30:15:27.9,Perseus,1.9^d,2.4^d,1.44,1.17 [0.08],14.48 [2.26],4.2 [1.2],4.71 [1.00],4.2
IRAS 03245+3002,03:27:39.03,30:12:59.3,Perseus,7.0^d,5.3^d,2.7,1.54 [0.29],39.31 [5.65],<9.8,<4.40,3.7
IRAS 03254+3050,03:28:34.51,31:00:51.2,Perseus, ... ,0.3^d,0.9, ... ,3.66 [0.47],<4.6,6.66 [1.37],3.9
IRAS 03271+3013,03:30:15.16,30:23:48.8,Perseus,0.8^d,1.2^d,2.06,0.42 [0.04],7.69 [1.76],<5.6,6.37 [1.86],4.8
IRAS 04108+2803^c,04:13:54.72,28:11:32.9,Taurus,0.62^e, ... ,0.9,1.04 [0.44],2.87 [0.4],<3.5,4.29 [1.03],4
IRAS 23238+7401,23:25:46.65,74:17:37.2,CB244, ... , ... ,0.95,2.19 [1.01],12.95 [2.26],<3.6,<1.24,2.7
L1014 IRS,21:24:07.51,49:59:09.0,L1014, ... , ... ,1.28,0.88 [0.56],7.16 [0.91],3.1 [0.8],5.20 [1.43],2.8
L1448 IRS1,03:25:09.44,30:46:21.7,Perseus,17.0^d,16.3^d,0.34,0.23 [0.04],0.47 [0.16],<14.9,<4.15,3.7
L1455 IRS3,03:28:00.41,30:08:01.2,Perseus,0.32^d,0.2^g,0.98,1.46 [0.88],0.92 [0.37],<12.5,6.21 [3.51],3.9
L1455 SMM1,03:27:43.25,30:12:28.8,Perseus,3.1^d,5.3^d,2.41,1.48 [0.76],18.21 [2.82],<13.5,<8.29,4.1
L1489 IRS^c,04:04:43.07,26:18:56.4,Taurus,3.7^e,0.1^h,1.1,0.69 [0.14],4.26 [0.51],4.9 [1.5],5.42 [0.96],5.4
SVS 4-5^c,18:29:57.59,01:13:00.6,Serpens,38^i, ... ,1.26,11.19 [4.29],5.65 [1.13],25.2 [3.5],~4.3,3.9